,Merge,Address,Average_price_PANDA,Average_price_UBER,Cuisine_PANDA,Cuisine_UBER,Cuisine_single_PANDA,Cuisine_single_UBER,Delivery_PANDA,Delivery_UBER,Dollar_signs,Exclusivity,Food_type,Name_PANDA,Name_UBER,Promotion,Ratings_PANDA,Ratings_UBER,Reviews_PANDA,Reviews_UBER
10,doner kebab,"Fu Lee Loy Shopping Centre, 9-27 King Wah Road, North Point, Shop 11, Hong Kong, Hong Kong 0000
 • 
More info",74.4,69.0,"['Middle Eastern', 'Only on foodpanda', 'Dine-in Price', 'Carousel Deals']",['Middle Eastern'],Middle Eastern,Middle Eastern,HK$ 12 delivery fee,14.0,2.0,1,$$ • Middle Eastern,doner kebab,doner kebab,10% off $80,4.2/5,,50.0,
11,ming ming cart noodle bar,"89 Hennessy Rd, Wan Chai, Hong Kong, G/F, ,
 • 
More info",15.152054794520547,34.0,"['Noodles', 'Hong Kong', 'Only on foodpanda', 'Carousel Deals']",['Chinese'],Noodles,Chinese,HK$ 17 delivery fee,24.0,1.0,1,$ • Chinese,ming ming cart noodle bar (north point),明明車仔麵專門店 ming ming cart noodle bar (軒尼詩道89號近修頓球場),10% off $80,4.3/5,4.6,1434.0,100
12,ming ming cart noodle bar,"290 Hennessy Rd, Wan Chai, Hong Kong, G/F, ,
 • 
More info",15.152054794520547,34.0,"['Noodles', 'Hong Kong', 'Only on foodpanda', 'Carousel Deals']",['Chinese'],Noodles,Chinese,HK$ 17 delivery fee,24.0,1.0,1,$ • Chinese,ming ming cart noodle bar (north point),明明車仔麵專門店 ming ming cart noodle bar (軒尼詩道290號近英皇中心),10% off $80,4.3/5,4.6,1434.0,60
13,harley's by chef nate green,"183 Electric Road, North Point, G/F,, Hong Kong, Hong Kong 0
 • 
More info",97.66779661016949,151.0,"['American', 'Dine-in Price', 'Favourites by foodpanda']","['American', 'Alcohol', 'Western', 'Burgers', 'Vegetarian', 'Wine']",American,American,HK$ 12 delivery fee,14.0,1.0,0,"$ • American
 • 
Alcohol
 • 
Western
 • 
Burgers
 • 
Vegetarian
 • 
Wine",harley's by chef nate green (fortress hill),harley's by chef nate green (north point),20% off $200,4.1/5,4.3,78.0,24
14,harley's by chef nate green,"31 Wong Nai Chung Rd, Happy Valley, Hong Kong, G/F,,
 • 
More info",97.66779661016949,151.0,"['American', 'Dine-in Price', 'Favourites by foodpanda']","['American', 'Alcohol', 'Western', 'Burgers', 'Vegetarian', 'Wine']",American,American,HK$ 12 delivery fee,19.0,1.0,0,"$ • American
 • 
Alcohol
 • 
Western
 • 
Burgers
 • 
Vegetarian
 • 
Wine",harley's by chef nate green (fortress hill),harley's by chef nate green (happy valley),20% off $200,4.1/5,4.3,78.0,54
15,prince dragon,"11 Lan Fong Rd, Hong Kong Island
 • 
More info",30.224137931034484,25.0,"['Dim Sum', 'Chinese', 'Tea Time']","['Cantonese', 'Family friendly']",Dim Sum,Cantonese,HK$ 20 delivery fee,19.0,1.0,0,"$ • Cantonese
 • 
Family friendly",prince dragon (causeway bay),籠太子點心專門店 prince dragon (銅鑼灣 causeway bay),,4.3/5,4.2,641.0,82
16,yu mai,"Hong Kong, North Point, Electric Rd, 254-280號華海大廈地下k號鋪, Shop K, G/F, Wah Hoi Mansion, ,
 • 
More info",33.4,76.0,"['Noodles', 'Hong Kong', 'Tea Time', 'Carousel Deals']",['Cantonese'],Noodles,Cantonese,HK$ 17 delivery fee,19.0,2.0,0,$$ • Cantonese,yu mai (north point),魚米 yu mai (north point),滿$80即享9折,4.3/5,4.0,411.0,16
17,tristar kitchen,"459 Lockhart Rd, 21/F, The L. Square, Hong Kong Island
 • 
More info",58.63888888888889,87.0,"['Drinks', 'Noodles', 'Taiwanese', 'Dine-in Price', 'Tea Time']",['Taiwanese'],Drinks,Taiwanese,HK$ 20 delivery fee,19.0,1.0,0,$ • Taiwanese,tristar kitchen (causeway bay),三星台菜食堂 tristar kitchen (銅鑼灣 causeway bay),,4.4/5,4.5,459.0,39
18,fûhn,"459 Lockhart Rd, 1/F, The L. Square,, Hong Kong Island
 • 
More info",65.02,111.0,"['Noodles', 'Vietnamese']",['Vietnamese'],Noodles,Vietnamese,HK$ 20 delivery fee,14.0,2.0,0,$$ • Vietnamese,fûhn (causeway bay),fûhn,20% off $100,4.3/5,4.1,103.0,15
19,express bar by lassana,"88 Hing Fat St, G/F,, Hong Kong Island
 • 
More info",54.58620689655172,38.0,"['Pasta', 'Western', 'Salad', 'Tea Time']",['Cafe'],Pasta,Cafe,HK$ 2 delivery fee,,2.0,0,$$ • Cafe,express bar by lassana (causeway bay),express bar by lassana (causeway bay),,4.1/5,,,
20,classified,"Lin Fa Kung St W, Causeway Bay, Hong Kong, Shop ABC, G/F, China Tower,
 • 
More info",86.64172661870505,140.0,"['Drinks', 'Sandwich', 'Western', 'European', 'Salad']",['Western'],Drinks,Western,HK$ 17 delivery fee,19.0,2.0,0,$$ • Western,classified (tai hang),classified (tai hang),20% off $150,4.4/5,4.2,1009.0,34
21,burgeroom,"Towning Mansion, Shop D, G/F, Hong Kong Island
 • 
More info",111.75,126.0,"['American', 'Burger', 'Western', 'Tea Time']",['Burger'],American,Burger,HK$ 20 delivery fee,,2.0,0,$$ • Burger,burgeroom (causeway bay),burgeroom (causeway bay),,4.3/5,4.4,439.0,14
22,tiger sugar,"Hong Kong, 灣仔柯布連道2號修頓中心地下4號舖, Shop 4, G/F, Southorn Centre, ,
 • 
More info",34.30232558139535,34.0,"['Drinks', 'Taiwanese', 'Only on foodpanda', 'Tea Time']",['Bubble Tea'],Drinks,Bubble Tea,HK$ 20 delivery fee,24.0,2.0,1,$$ • Bubble Tea,tiger sugar (causeway bay),tiger sugar 老虎堂黑糖專売 (wan chai 灣仔),,4.5/5,4.5,166.0,22
23,tiger sugar,"Hong Kong, 銅鑼灣渣甸街36號地下3號舖, Shop 3, G/F, ,
 • 
More info",34.30232558139535,34.0,"['Drinks', 'Taiwanese', 'Only on foodpanda', 'Tea Time']",['Bubble Tea'],Drinks,Bubble Tea,HK$ 20 delivery fee,,2.0,1,$$ • Bubble Tea,tiger sugar (causeway bay),tiger sugar 老虎堂黑糖專売 (causeway bay 銅鑼灣),,4.5/5,4.6,166.0,(12)
24,chicken wings mountain,"520 Jaffe Rd, Hong Kong Island
 • 
More info",165.8842105263158,157.0,"['Hong Kong', 'Carousel Deals']",['Chinese'],Hong Kong,Chinese,HK$ 20 delivery fee,19.0,2.0,0,$$ • Chinese,chicken wings mountain (causeway bay),雞翼山 chicken wings mountain (銅鑼灣 causeway bay),10% off $80,4.6/5,4.7,803.0,26
25,northern dumpling yuan,"401 Lockhart Rd, Shop B, G/F,
 • 
More info",49.14150943396226,57.0,"['Noodles', 'Chinese']",['Chinese'],Noodles,Chinese,HK$ 20 delivery fee,19.0,2.0,0,$$ • Chinese,northern dumpling yuan (causeway bay),北方餃子源 northern dumpling yuan (銅鑼灣 causeway bay),,4.6/5,4.7,383.0,52
26,ramen kureha,"20 Wun Sha St, Shop B, G/F, ,
 • 
More info",47.0,78.0,"['Noodles', 'Japanese', 'Dine-in Price']",['Japanese'],Noodles,Japanese,HK$ 17 delivery fee,19.0,1.0,0,$ • Japanese,ramen kureha (tai hang),拉麵來 ramen kureha (大坑 tai hang),10% off $100,4.2/5,4.5,141.0,20
27,cross cafe,"G/F No, 64 Leighton Rd, Causeway Bay, Hong Kong,
 • 
More info",29.232,53.0,"['Cakes & Bakery', 'Noodles', 'Sandwich', 'Hong Kong', 'Carousel Deals']",['Fast Food'],Cakes & Bakery,Fast Food,HK$ 20 delivery fee,24.0,1.0,0,$ • Fast Food,cross cafe (causeway bay),十字冰室 cross cafe (銅鑼灣 causeway bay),10% off $80,4.3/5,4.4,1119.0,94
28,nene chicken,"500 Hennessy Rd, Shop1104, 11/F, Wan Chai District, Hong Kong SAR
 • 
More info",37.22666666666667,62.0,"['Noodles', 'Korean', 'Limited Offers', 'Dine-in Price', 'Carousel Deals']",['Korean'],Noodles,Korean,HK$ 20 delivery fee,19.0,2.0,0,$$ • Korean,nene chicken (causeway bay),nene chicken (causeway bay),20% off $100,4.2/5,3.9,292.0,23
29,cheung hing kee shanghai pan-fried buns,"North Point Centre, 278-288 King'S Rd, North Point, Hong Kong, Unit 2, G/F King’s Park Lane,,
 • 
More info",49.880769230769225,65.0,"['Dim Sum', 'Chinese', 'Favourites by foodpanda']","['Cantonese', 'Chinese', 'Fast Food', 'Noodles']",Dim Sum,Cantonese,HK$ 17 delivery fee,19.0,2.0,0,"$$ • Cantonese
 • 
Chinese
 • 
Fast Food
 • 
Noodles",cheung hing kee shanghai pan-fried buns (fortress hill),祥興記上海生煎包 cheung hing kee shanghai pan-fried buns (炮台山 fortress hill),10% off $80,4.4/5,4.6,277.0,41
30,men wah bing teng,"535 Jaffe Rd, Shop G02, G/F, Tower 535, Causeway Bay, Hong Kong Island
 • 
More info",25.42,71.0,"['Hong Kong', 'Cha Chaan Teng', 'Limited Offers', 'Dine-in Price']","['Chinese', 'Cantonese', 'Fast Food']",Hong Kong,Chinese,HK$ 20 delivery fee,19.0,1.0,0,"$ • Chinese
 • 
Cantonese
 • 
Fast Food",men wah bing teng (causeway bay),敏華冰廳 men wah bing teng (景隆街 cannon st.),10% off $150,4.4/5,4.3,178.0,32
31,men wah bing teng,"109 Wan Chai Rd, Shop 1, G/F, L' Wanchai, Hong Kong Island
 • 
More info",25.42,72.0,"['Hong Kong', 'Cha Chaan Teng', 'Limited Offers', 'Dine-in Price']","['Chinese', 'Cantonese', 'Fast Food']",Hong Kong,Chinese,HK$ 20 delivery fee,24.0,1.0,0,"$ • Chinese
 • 
Cantonese
 • 
Fast Food",men wah bing teng (causeway bay),敏華冰廳 men wah bing teng (灣仔道 wanchai rd.),10% off $150,4.4/5,4.2,178.0,34
32,kong chai kee,"2 Canal Road East, Causeway Bay, G/F,
 • 
More info",45.397058823529406,52.0,['Hong Kong'],['Cantonese'],Hong Kong,Cantonese,HK$ 20 delivery fee,24.0,3.0,0,$$$ • Cantonese,kong chai kee (causeway bay),江仔記 kong chai kee (銅鑼灣),,4.5/5,4.4,169.0,40
33,tp tea,"9 Lee Garden Rd, East Point, Hong Kong, G/F, Hong Kong Island
 • 
More info",25.274074074074072,34.0,"['Drinks', 'Taiwanese', 'Carousel Deals']",['Bubble Tea'],Drinks,Bubble Tea,HK$ 20 delivery fee,24.0,1.0,0,$ • Bubble Tea,tp tea (causeway bay),tp tea 茶湯會 (causeway bay),20% off $100,4.5/5,4.5,351.0,13
34,tai hang bar & grill,"38 Tung Lo Wan Rd, Hong Kong Island
 • 
More info",143.1818181818182,155.0,"['Pasta', 'Pizza', 'Western', 'Tea Time', 'Favourites by foodpanda']","['Western', 'Pizza']",Pasta,Western,HK$ 17 delivery fee,,1.0,0,"$ • Western
 • 
Pizza",tai hang bar & grill,tai hang bar & grill,10% off $250,4.5/5,4.4,896.0,35
35,stew,"Rialto Mansion, 177-191a King'S Rd, North Point, Hong Kong, Shop D, G/F,
 • 
More info",65.97872340425532,90.0,"['Dessert', 'Hong Kong', 'Soup']",['Cantonese'],Dessert,Cantonese,HK$ 17 delivery fee,19.0,1.0,0,$ • Cantonese,stew (north point),燉 stew (北角 north point),,4.3/5,4.3,230.0,25
36,stew,"1803 Cre Building, 303 Hennessy Rd, Shop B, G/F, Office Plus@Wan Chai, , Hong Kong Island
 • 
More info",65.97872340425532,87.0,"['Dessert', 'Hong Kong', 'Soup']","['Cantonese', 'Chinese']",Dessert,Cantonese,HK$ 17 delivery fee,24.0,1.0,0,"$ • Cantonese
 • 
Chinese",stew (north point),燉 stew (灣仔 wan chai),,4.3/5,,230.0,
37,istanbul kebab corner,"Fu Lee Loy Shopping Centre, 9-27 King Wah Road, G/F, Shop 11,
 • 
More info",61.49302325581395,69.0,"['Middle Eastern', 'Only on foodpanda', 'Dine-in Price', 'Carousel Deals']","['Indian', 'Pakistani', 'Turkish', 'Pizza']",Middle Eastern,Indian,HK$ 12 delivery fee,14.0,2.0,1,"$$ • Indian
 • 
Pakistani
 • 
Turkish
 • 
Pizza",istanbul kebab corner,istanbul kebab corner,10% off $80,4/5,,33.0,
38,dazzling cafe,"311 Gloucester Rd, Shop 313-314, 3/F, Windsor House, Wan Chai District, Hong Kong SAR Hong Kong
 • 
More info",68.73529411764707,71.0,"['Taiwanese', 'Only on foodpanda', 'Dine-in Price']","['Taiwanese', 'Cafe', 'Asian Fusion']",Taiwanese,Taiwanese,HK$ 20 delivery fee,19.0,2.0,1,"$$ • Taiwanese
 • 
Cafe
 • 
Asian Fusion",dazzling cafe (causeway bay),dazzling cafe (windsor house),,4.5/5,,72.0,
39,hot dog link,"27 Mercury St, Causeway Bay, Hong Kong, Shop C, G/F,
 • 
More info",39.55681818181818,34.0,"['German', 'Only on foodpanda', 'Dine-in Price']","['American', 'Allergy friendly']",German,American,HK$ 12 delivery fee,19.0,2.0,1,"$$ • American
 • 
Allergy friendly",hot dog link (tin hau),德國熱狗 hot dog link(tin hau),,4.6/5,4.4,169.0,31
40,chali,"500 Hennessy Rd, Shop 511A, 5/F, , Hong Kong Island
 • 
More info",29.565,44.0,"['Drinks', 'Cashback', 'Carousel Deals']","['Bubble Tea', 'Juice and smoothies']",Drinks,Bubble Tea,HK$ 20 delivery fee,19.0,1.0,0,"$ • Bubble Tea
 • 
Juice and smoothies",chali (causeway bay),chali,10% off $80,4.4/5,,108.0,
41,rebar,"2 Yee Wo St, Shop 1, 6/F, Ying Kong Mansion, , Causeway Bay, Hong Kong Island
 • 
More info",39.12,43.0,"['Pasta', 'Western', 'Dine-in Price', 'Limited Offers', 'Carousel Deals']",['Western'],Pasta,Western,HK$ 20 delivery fee,19.0,2.0,0,$$ • Western,rebar,rebar,20% off $80,4.1/5,,37.0,
42,taiwan lang,"Ngan Mok Street, 21 Ngan Mok St, G/F&1/F,, Hong Kong Island
 • 
More info",51.560439560439555,30.0,"['Drinks', 'Noodles', 'Taiwanese', 'Soup']",['Taiwanese'],Drinks,Taiwanese,HK$ 12 delivery fee,14.0,1.0,0,$ • Taiwanese,taiwan lang (tin hau),台灣郎 taiwan lang (天后tin hau),,4.2/5,3.6,199.0,11
43,ocean empire food shop,"151-155 Johnston Rd, Shop B, G/F, ,
 • 
More info",34.22702702702703,64.0,"['Chinese', 'Hong Kong', 'Carousel Deals']",['Chinese'],Chinese,Chinese,HK$ 20 delivery fee,24.0,1.0,0,$ • Chinese,ocean empire food shop (north point),ocean empire food shop 海皇粥店 (灣仔 wanchai),20% off $100,4.4/5,4.6,495.0,34
44,ocean empire food shop,"406 King'S Rd, North Point, Hong Kong, G/F,
 • 
More info",34.22702702702703,50.0,"['Chinese', 'Hong Kong', 'Carousel Deals']",['Chinese'],Chinese,Chinese,HK$ 20 delivery fee,,1.0,0,$ • Chinese,ocean empire food shop (north point),ocean empire food shop 海皇粥店 (北角 north point),20% off $100,4.4/5,,495.0,
45,ocean empire food shop,"Hong Kong, 銅鑼灣駱克道472號地下, G/F, ,
 • 
More info",34.22702702702703,63.0,"['Chinese', 'Hong Kong', 'Carousel Deals']",['Chinese'],Chinese,Chinese,HK$ 20 delivery fee,,1.0,0,$ • Chinese,ocean empire food shop (north point),ocean empire food shop 海皇粥店 (銅鑼灣 causeway bay),20% off $100,4.4/5,,495.0,
46,gwing kee restaurant,"376～380 King'S Rd, North Point, Hong Kong, G/F,,
 • 
More info",44.862135922330104,54.0,"['Noodles', 'Chinese', 'Cashback', 'Together Tastes Better with Coca-Cola®️', 'Carousel Deals']",['Cantonese'],Noodles,Cantonese,HK$ 20 delivery fee,19.0,2.0,0,$$ • Cantonese,gwing kee restaurant (north point),炯記餐室 gwing kee restaurant (北角 north point),20% off $100,4.3/5,,590.0,
47,gwing kee restaurant,"City Mansion, 483-499 Jaffe Rd, Causeway Bay, Hong Kong, Shop G & H, G/F,,
 • 
More info",44.862135922330104,59.0,"['Noodles', 'Chinese', 'Cashback', 'Together Tastes Better with Coca-Cola®️', 'Carousel Deals']",['Chinese'],Noodles,Chinese,HK$ 20 delivery fee,,2.0,0,$$ • Chinese,gwing kee restaurant (north point),炯記餐室 gwing kee restaurant (銅鑼灣),20% off $100,4.3/5,,590.0,
48,my cup of tea,"5 Haven St, Shop 3&6, G/F, Lei Shun Court, Wan Chai District, Hong Kong SAR 0000
 • 
More info",52.137931034482754,46.0,"['Sandwich', 'Hong Kong', 'Only on foodpanda', 'Tea Time']",['Cantonese'],Sandwich,Cantonese,HK$ 12 delivery fee,19.0,2.0,1,$$ • Cantonese,my cup of tea (fortress hill),my cup of tea 我杯茶 (銅鑼灣),,4.4/5,,87.0,
49,my cup of tea,"5 Haven St, Shop 3&6, G/F, Lei Shun Court, Wan Chai District, Hong Kong SAR 0000
 • 
More info",52.137931034482754,46.0,"['Hong Kong', 'Sandwich', 'Only on foodpanda']",['Cantonese'],Hong Kong,Cantonese,HK$ 20 delivery fee,19.0,2.0,1,$$ • Cantonese,my cup of tea (causeway bay),my cup of tea 我杯茶 (銅鑼灣),,4.5/5,,45.0,
50,my cup of tea,"12 Wang On Rd, Shop 5, G/F, Wang Fai Mansion, Eastern District, Hong Kong SAR 0000
 • 
More info",52.137931034482754,46.0,"['Sandwich', 'Hong Kong', 'Only on foodpanda', 'Tea Time']",['Cantonese'],Sandwich,Cantonese,HK$ 12 delivery fee,,2.0,1,$$ • Cantonese,my cup of tea (fortress hill),my cup of tea 我杯茶 (北角),,4.4/5,,87.0,
51,my cup of tea,"12 Wang On Rd, Shop 5, G/F, Wang Fai Mansion, Eastern District, Hong Kong SAR 0000
 • 
More info",52.137931034482754,46.0,"['Hong Kong', 'Sandwich', 'Only on foodpanda']",['Cantonese'],Hong Kong,Cantonese,HK$ 20 delivery fee,,2.0,1,$$ • Cantonese,my cup of tea (causeway bay),my cup of tea 我杯茶 (北角),,4.5/5,,45.0,
52,phd,"Po Hon Building, 24 Percival Street, 3/F & 4/F, ,
 • 
More info",95.6875,74.0,"['Italian', 'Pizza', 'Western', 'Pasta']","['Pizza', 'Pasta']",Italian,Pizza,Free delivery,19.0,2.0,0,"$$ • Pizza
 • 
Pasta",phd (percival street),phd (銅鑼灣波斯富街),Free Delivery $200,4.1/5,4.4,114.0,25
53,virus restaurant & bar,"Lockhart Road, 21/F, Chung Wai Commercial Building,, Causeway Bay, Hong Kong Island
 • 
More info",81.1875,105.0,"['Western', 'Dine-in Price']",['Japanese'],Western,Japanese,HK$ 20 delivery fee,19.0,2.0,0,$$ • Japanese,virus restaurant & bar,virus restaurant & bar,,3.5/5,,4.0,
54,veggie spinner,"144 Tung Lo Wan Rd, Causeway Bay, Hong Kong, G/F, Hong Kong Island
 • 
More info",62.089156626506025,71.0,"['Vegetarian', 'Pasta', 'Carousel Deals']",['Vegetarian'],Vegetarian,Vegetarian,HK$ 17 delivery fee,19.0,1.0,0,$ • Vegetarian,veggie spinner,veggie spinner (tai hang),10% off $80,4.4/5,,72.0,
55,pandan leaf indonesian food,"Causeway Bay Commercial Building, 1-5 Sugar St, Causeway Bay, Hong Kong, Shop B2, G/F,,
 • 
More info",72.75755395683454,93.0,"['Indonesian', 'Carousel Deals']",['South East Asian'],Indonesian,South East Asian,HK$ 20 delivery fee,19.0,2.0,0,$$ • South East Asian,pandan leaf indonesian food,班蘭葉印尼美食 pandan leaf indonesian food,10% off $80,4.3/5,,166.0,
56,turkish best kebab,"58 Tung Lo Wan Rd, Tai Hang, Hong Kong, G/F, (Opposite CRC Club),
 • 
More info",44.1,70.0,"['Mediterranean', 'Salad', 'Carousel Deals']",['Asian Fusion'],Mediterranean,Asian Fusion,HK$ 17 delivery fee,19.0,2.0,0,$$ • Asian Fusion,turkish best kebab,turkish best kebab,10% off $80,3.4/5,,52.0,
57,arabian knights,"58 Tung Lo Wan Rd, Tai Hang, Hong Kong, G/F, ,
 • 
More info",57.11666666666667,75.0,"['Indian', 'Carousel Deals']",['Indian'],Indian,Indian,HK$ 17 delivery fee,14.0,2.0,0,$$ • Indian,arabian knights,arabian knights,10% off $80,3.4/5,,35.0,
58,stand by you desserts,"62 Hing Fat St, Tin Hau, Hong Kong, Shop KL3, G/F, Mayson Garden Building,,
 • 
More info",48.37037037037037,44.0,"['Dessert', 'Hong Kong', 'Together Tastes Better with Coca-Cola®️', 'Night Owl Picks']",['Desserts'],Dessert,Desserts,HK$ 12 delivery fee,19.0,1.0,0,$ • Desserts,stand by you desserts,陪著你走甜品 stand by you desserts,,4.4/5,4.6,305.0,21
59,tsui woo seafood restaurant,"18 Jupiter St, Causeway Bay, Hong Kong, Shop C-E, G/F, ,
 • 
More info",26.344827586206893,273.0,"['Dim Sum', 'Noodles', 'Hong Kong']",['Chinese'],Dim Sum,Chinese,HK$ 12 delivery fee,14.0,2.0,0,$$ • Chinese,tsui woo seafood restaurant (fortress hill),tsui woo seafood restaurant 翠湖海鮮飯店,,4.3/5,,120.0,
60,green river restaurant,"19a Fort St, G/F,, Hong Kong Island
 • 
More info",25.857142857142854,54.0,"['Hong Kong', 'Together Tastes Better with Coca-Cola®️']",['Cantonese'],Hong Kong,Cantonese,HK$ 17 delivery fee,19.0,1.0,0,$ • Cantonese,green river restaurant (fort street),翠河餐廳 green river restaurant (北角 north point),,4.1/5,4.0,245.0,14
61,green river restaurant,"106 Tsat Tsz Mui Rd, North Point, Hong Kong, Shop 1, G/F, ,
 • 
More info",25.857142857142854,47.0,"['Hong Kong', 'Together Tastes Better with Coca-Cola®️']",['Chinese'],Hong Kong,Chinese,HK$ 17 delivery fee,24.0,1.0,0,$ • Chinese,green river restaurant (fort street),翠河餐廳 green river restaurant (七姊妹 tsat tsz mui road),,4.1/5,,245.0,
