,Merge,Address,Average_price_PANDA,Average_price_UBER,Cuisine_PANDA,Cuisine_UBER,Cuisine_single_PANDA,Cuisine_single_UBER,Delivery_PANDA,Delivery_UBER,Dollar_signs,Exclusivity,Food_type,Name_PANDA,Name_UBER,Promotion,Ratings_PANDA,Ratings_UBER,Reviews_PANDA,Reviews_UBER
77,hong kong canteen,"Aia Tower, 183 Electric Road, North Point, Shop 16, G/F, , Hong Kong, Hong Kong 0
 • 
More info",40.4,71.0,"['Noodles', 'Hong Kong']",['Cantonese'],Noodles,Cantonese,HK$ 12 delivery fee,19.0,2.0,0,$$ • Cantonese,hong kong canteen (electric road),香港飯堂 hong kong canteen (友邦廣場 aia tower),,4.3/5,,270.0,
78,hong kong canteen,"72 Wharf Rd, Shop 6, G/F, Yen Po Court, North Point, Hong Kong Island
 • 
More info",40.4,73.0,"['Noodles', 'Hong Kong']",['Cantonese'],Noodles,Cantonese,HK$ 12 delivery fee,,2.0,0,$$ • Cantonese,hong kong canteen (electric road),香港飯堂 hong kong canteen (北角 north point),,4.3/5,,270.0,
79,villa villa,"25 Kam Ping St, North Point, Hong Kong, Shop , G/F, Hong Kong Island
 • 
More info",125.30555555555556,122.0,"['Burger', 'Pasta', 'Pizza', 'Western']",['Cafe'],Burger,Cafe,HK$ 20 delivery fee,,1.0,0,$ • Cafe,villa villa,villa villa,,4.4/5,4.0,179.0,25
80,minamoto kitchoan,"555 Hennessy Rd, Causeway Bay, Hong Kong, Shop 29, B2/F, , Hong Kong Island Hong Kong
 • 
More info",78.5,86.0,"['Cakes & Bakery', 'Dessert', 'Japanese']",['Desserts'],Cakes & Bakery,Desserts,HK$ 20 delivery fee,19.0,2.0,0,$$ • Desserts,minamoto kitchoan (cwb sogo),minamoto kitchoan 源吉兆庵 (causeway bay),,4.6/5,,24.0,
81,bingo & cook,"487 Lockhart Rd, 2/F, L'Hart, ,
 • 
More info",149.4,169.0,"['Korean', 'Dine-in Price']",['Korean'],Korean,Korean,HK$ 20 delivery fee,,2.0,0,$$ • Korean,bingo & cook (causeway bay),bingo & cook(causeway bay),,4/5,,50.0,
82,hesheeat,"Shop 201, 2 Great George St, Causeway Bay, Hong Kong,
 • 
More info",87.87272727272726,92.0,"['Dessert', 'Pasta', 'Sandwich', 'Western']","['Desserts', 'Pasta', 'Burger', 'Italian', 'Western']",Dessert,Desserts,HK$ 20 delivery fee,,2.0,0,"$$ • Desserts
 • 
Pasta
 • 
Burger
 • 
Italian
 • 
Western",hesheeat (causeway bay),hesheeat (causewaybay),10% off $100,4.5/5,4.4,142.0,(15)
83,the mast’ of mozzarella & co.,"19 Leighton Rd, Bowrington, Hong Kong, G/F, 19,
 • 
More info",131.63636363636363,148.0,"['Burger', 'Sandwich', 'Italian', 'Pasta', 'Salad']",['Pizza'],Burger,Pizza,HK$ 25 delivery fee,,2.0,0,$$ • Pizza,the mast’ of mozzarella & co.,the mast’ of mozzarella & co.,20% off $100,4.5/5,,63.0,
84,the leah,"28 Yun Ping Rd, Causeway Bay, Hong Kong, Shop 308 & 311,
 • 
More info",158.875,229.0,"['Western', 'Salad', 'Spirit and Wines']",['British'],Western,British,HK$ 20 delivery fee,,2.0,0,$$ • British,the leah,the leah,,3.7/5,,8.0,
85,new forest restaurant,"441 King'S Rd, North Point, Hong Kong, Shop C, G/F, Hong Kong Island
 • 
More info",73.04347826086956,74.0,"['Chinese', 'Western']",['Chinese'],Chinese,Chinese,HK$ 25 delivery fee,,1.0,0,$ • Chinese,new forest restaurant (north point),new forest restaurant 新森林焗之專門店 (north point),,4.3/5,4.3,610.0,(14)
86,new forest restaurant,"Wai Hay Mansion, 201-203 Wan Chai Rd, Wan Chai, Hong Kong, G/F, Hong Kong Island
 • 
More info",73.04347826086956,73.0,"['Chinese', 'Western']",['Chinese'],Chinese,Chinese,HK$ 25 delivery fee,,1.0,0,$ • Chinese,new forest restaurant (north point),new forest restaurant 新森林焗之專門店 (wan chai),,4.3/5,,610.0,
87,kebab corner,"96 Electric Road, Tin Hau, Shop A4, G/F, ,
 • 
More info",65.7,91.0,"['Vegetarian', 'Middle Eastern', 'Carousel Deals']",['Middle Eastern'],Vegetarian,Middle Eastern,HK$ 12 delivery fee,,3.0,0,$$$ • Middle Eastern,kebab corner,kebab corner,10% off $80,4/5,,188.0,
88,the red pepper restaurant,"7 Lan Fong Rd, Hong Kong Island
 • 
More info",154.6,152.0,"['Chinese', 'Soup', 'Dine-in Price']",['Chinese'],Chinese,Chinese,HK$ 20 delivery fee,,2.0,0,$$ • Chinese,the red pepper restaurant,the red pepper restaurant 南北樓,,3.6/5,,23.0,
89,gyuugoku stone grill steak,"Lok Sing Centre, 19-31 Yee Wo St, Causeway Bay, Hong Kong, Shop 1C-1D, G/F,,
 • 
More info",78.875,146.0,['Japanese'],['Japanese'],Japanese,Japanese,Free delivery,,2.0,0,$$ • Japanese,gyuugoku stone grill steak (causeway bay),牛極 gyuugoku stone grill steak (銅鑼灣),Free Delivery $200,4.2/5,,18.0,
